"Column2","Column4","Column1","Estimate","Std. Error","tvalue","adjR2","Pr(>|t|)"
"Fish","Cmin","0",0.599242830314838,1.07194699892749,0.559022816346702,-0.2972936456913,0.63238937782059
"Fish","Cmin","2",0.468382707181669,0.630532204297367,0.742837089032765,-0.175637526485183,0.534982098183438
"Fish","Cmax","0",1.575314963185,1.90497956298172,0.826945860101132,-0.117801586011103,0.495223868770259
"Fish","Cmax","2",0.62092227719956,0.754374743621324,0.82309526193688,-0.120454117271382,0.496978540730374
"Fish (Trait)","Cmin","0",0.36013330231471,0.677914704918718,0.531236894113236,-0.31451379704332,0.648350360958828
"Fish (Trait)","Cmin","2",0.240740038434422,0.379968441371947,0.633579035051399,-0.249259608773731,0.591147629556202
"Fish (Trait)","Cmax","0",0.439427137975913,0.852635418098907,0.51537518691833,-0.324145772437348,0.657602348564662
"Fish (Trait)","Cmax","2",0.252349889700395,0.378136321951527,0.667351627048257,-0.226814135944917,0.573240220533781
