"Column3","Column2","Column4","Column1","Modnames","AICc","Delta_AICc","LL","AdjR2","FStatistic","Pval"
"Northern Range","Diatoms","Cmin","0","1",56.1151398749939,0,-24.2575699374969,0.136291960982572,3.84037566731134,0.0666374177707838
"Northern Range","Diatoms","Cmin","0","2",57.0732710386293,0.958131163635379,-23.1080640907432,0.186896180821346,3.06869724101312,0.0744642514540335
"Northern Range","Diatoms","Cmin","0","3",59.9975385619095,3.88239868691565,-22.6910769732625,0.169935058407913,2.22835009570678,0.127027655071919
"Northern Range","Diatoms","Cmin","0","4",63.7515483347757,7.6364084597818,-22.3757741673878,0.139677737357135,1.73059810887171,0.199174808591719
"Northern Range","Diatoms","Cmin","2","1",63.0853739253578,0,-27.7426869626789,-0.0489986506510933,0.159221309605828,0.694842287067272
"Northern Range","Diatoms","Cmin","2","2",66.3403395588772,3.25496563351937,-27.7415983508672,-0.114433355282418,0.0758530398789398,0.927283725538869
"Northern Range","Diatoms","Cmin","2","3",66.5527165592089,3.46734263385111,-25.9686659719122,0.0136459044880888,1.08300814819047,0.38630282841046
"Northern Range","Diatoms","Cmin","2","4",70.7269202072213,7.64154628186345,-25.8634601036106,-0.0451691140485861,0.805523325855582,0.541798757103979
"Northern Range","Diatoms","Cmax","0","2",77.9670148132198,0,-33.5549359780385,0.160477830889125,2.7203839650021,0.0961694588183436
"Northern Range","Diatoms","Cmax","0","1",79.3866257301368,1.41961091691707,-35.8933128650684,-0.0106542752139227,0.810244750797678,0.380622507785616
"Northern Range","Diatoms","Cmax","0","3",79.7029605478449,1.73594573462513,-32.5437879662301,0.194925538416749,2.45272678032845,0.103411749175161
"Northern Range","Diatoms","Cmax","0","4",83.6235366374403,5.65652182422048,-32.3117683187201,0.158231931930866,1.84589059706458,0.176191913388854
"Northern Range","Diatoms","Cmax","2","1",63.1858918025518,0,-27.7929459012759,-0.0444641499207801,0.233717405585682,0.634948956401547
"Northern Range","Diatoms","Cmax","2","2",66.4265661701727,3.24067436762088,-27.7847116565149,-0.108781692159697,0.1170171401998,0.890324227608659
"Northern Range","Diatoms","Cmax","2","3",66.9038382608692,3.71794645831734,-26.1442268227423,0.00487035619174336,1.02936515591941,0.407670180003852
"Northern Range","Diatoms","Cmax","2","4",71.0271608884593,7.84126908590742,-26.0135804442296,-0.0516479038025057,0.778998687421031,0.557109694670997
"Northern Range","Invertebrates","Cmin","0","2",46.5288769437085,0,-17.8358670432828,0.187302241361397,3.07422766254015,0.0741672739176715
"Northern Range","Invertebrates","Cmin","0","3",49.3646040199054,2.83572707619692,-17.3746097022604,0.17420678540307,2.26574146401603,0.122709738994666
"Northern Range","Invertebrates","Cmin","0","1",49.4445433806978,2.91566643698928,-20.9222716903489,-0.0585119263300049,0.00500443335417231,0.944428626682798
"Northern Range","Invertebrates","Cmin","0","4",53.2625743933723,6.73369744966381,-17.1312871966862,0.137595539083355,1.71796929855508,0.201881249022341
"Northern Range","Invertebrates","Cmin","2","1",61.6515436941071,0,-27.0257718470536,0.0761050243013091,2.48273393995631,0.133527623827201
"Northern Range","Invertebrates","Cmin","2","2",61.9321356393268,0.280591945219712,-25.537496391092,0.160704835248975,2.72328350976481,0.0959616240487222
"Northern Range","Invertebrates","Cmin","2","3",65.2150697182898,3.56352602418264,-25.2998425514526,0.126869719758307,1.87182673167529,0.177718926686798
"Northern Range","Invertebrates","Cmin","2","4",68.8392648361657,7.18772114205861,-24.9196324180829,0.101204503527187,1.50670065399701,0.253451212640022
"Northern Range","Invertebrates","Cmax","0","2",68.4769730301579,0,-28.8099150865075,0.161362436274136,2.73169196001092,0.0953617713703953
"Northern Range","Invertebrates","Cmax","0","1",70.0387968909682,1.56182386081038,-31.2193984454841,-0.0171743658725803,0.69608102988198,0.415674135195583
"Northern Range","Invertebrates","Cmax","0","3",72.209771905583,3.73279887542519,-28.7971936450992,0.106650350395789,1.71629524079204,0.206439020262371
"Northern Range","Invertebrates","Cmax","0","4",76.5836613958188,8.10668836566096,-28.7918306979094,0.0433798455302421,1.20406145947687,0.352402959243641
"Northern Range","Invertebrates","Cmax","2","1",63.6153447165316,0,-28.0076723582658,0.0708179686886211,2.37187697721202,0.14194503949646
"Northern Range","Invertebrates","Cmax","2","2",63.9132665896492,0.297921873117637,-26.5280618662532,0.155131653823588,2.65254727642591,0.101179407899061
"Northern Range","Invertebrates","Cmax","2","3",67.1763704337632,3.56102571723159,-26.2804929091893,0.121988718363065,1.83362517713189,0.184346646184329
"Northern Range","Invertebrates","Cmax","2","4",70.726243833935,7.11089911740338,-25.8631219169675,0.0997085667504234,1.4983814505014,0.255746610567709
"Northern Range","Fish","Cmin","0","4",82.0060258554004,0,-31.5030129277002,0.581341812843735,7.24862534175251,0.00222049785610915
"Northern Range","Fish","Cmin","0","1",91.2669736224053,9.26094776700491,-41.8334868112027,-0.0228182573637352,0.598434394781077,0.449800223381996
"Northern Range","Fish","Cmin","0","2",93.6054447778555,11.5994189224551,-41.3741509603563,-0.035449150348789,0.691880230881805,0.51500332034449
"Northern Range","Fish","Cmin","0","3",95.0567086896156,13.0506828342152,-40.2206620371155,0.0218048326576388,1.1337452896044,0.367138388762726
"Northern Range","Fish","Cmin","2","4",35.368250218751,0,-8.18412510937552,0.675325764731288,10.360046505617,0.000408106846546268
"Northern Range","Fish","Cmin","2","3",48.524992092085,13.156741873334,-16.9548037383502,0.237152010154207,2.86526290934171,0.0716690170983544
"Northern Range","Fish","Cmin","2","2",49.7921743175825,14.4239240988315,-19.4675157302198,0.0682949799424507,1.65970967876087,0.221313193159435
"Northern Range","Fish","Cmin","2","1",50.0958799878181,14.7276297690671,-21.2479399939091,-0.0576499748732071,0.0188629770051014,0.892373577616064
"Northern Range","Fish","Cmax","0","4",103.069713360334,0,-42.0348566801671,0.489251450144724,5.31059770267602,0.00814793332548434
"Northern Range","Fish","Cmax","0","1",107.671255330422,4.60154197008823,-50.0356276652113,0.0235653752983024,1.43441388152231,0.247478413976523
"Northern Range","Fish","Cmax","0","2",110.237152091216,7.16743873088166,-49.6900046170365,-0.000395847154442075,0.996438785306724,0.390980287984288
"Northern Range","Fish","Cmax","0","3",111.920818263318,8.85110490298382,-48.6527168239667,0.0432889811260944,1.27148624990468,0.319888624782069
"Northern Range","Fish","Cmax","2","4",35.7396820998944,0,-8.36984104994721,0.659804493936187,9.72768796115696,0.000558226153036136
"Northern Range","Fish","Cmax","2","3",47.4618740109775,11.7221919110831,-16.4232446977964,0.258812004332782,3.09511221859279,0.0588005432037872
"Northern Range","Fish","Cmax","2","2",48.9204590997308,13.1807769998364,-19.031658121294,0.0855839988599922,1.84234745321566,0.190515518457851
"Northern Range","Fish","Cmax","2","1",49.5969716753383,13.8572895754439,-20.9984858376692,-0.0585925121328876,0.00370992019676796,0.952141939556259
"Northern Range","Fish (Trait)","Cmin","0","4",54.8955200572742,0,-17.9477600286371,0.413091145982904,4.16728934007344,0.0198445494993096
"Northern Range","Fish (Trait)","Cmin","0","1",57.4636049267692,2.56808486949498,-24.9318024633846,-0.00815366317237776,0.854421064502245,0.368240118105167
"Northern Range","Fish (Trait)","Cmin","0","3",57.5526159444273,2.65709588715303,-21.4686156645213,0.20646865232504,2.56113796585346,0.0937772278489394
"Northern Range","Fish (Trait)","Cmin","0","2",59.7845512748592,4.88903121758497,-24.4637042088582,-0.0196625334496137,0.826449638737004,0.455440361183074
"Northern Range","Fish (Trait)","Cmin","2","3",31.2917237349761,0,-8.33816955979575,0.331041840965741,3.96917082028254,0.0288222180899932
"Northern Range","Fish (Trait)","Cmin","2","4",33.2922207406656,2.00049700568947,-7.14611037033279,0.367781872892188,3.61779654371191,0.0316828583564905
"Northern Range","Fish (Trait)","Cmin","2","2",35.191467269872,3.89974353489589,-12.1671622063646,0.0615450506801004,1.59023126951626,0.234469983608349
"Northern Range","Fish (Trait)","Cmin","2","1",35.2576160466503,3.96589231167416,-13.8288080233251,-0.0520756656122554,0.109035583980455,0.745279191336537
"Northern Range","Fish (Trait)","Cmax","0","4",71.0044590937411,0,-26.0022295468705,0.392535991116029,3.90784628255981,0.0246635162550534
"Northern Range","Fish (Trait)","Cmax","0","1",71.7590834789621,0.754624385221035,-32.0795417394811,0.0515263699114544,1.97786024722648,0.177632510626314
