"Column3","Column2","Column4","Column1","Modnames","AICc","Delta_AICc","LL","AdjR2","FStatistic","Pval"
"Northern Range","Diatoms","Cmin","0","2",-530.072020146531,0,269.156492000976,0.0127227488552512,2.0953697671474,0.126228435191781
"Northern Range","Diatoms","Cmin","0","3",-529.041601578177,1.03041856835409,269.702618970907,0.0131346368803217,1.75420226274031,0.157939198578563
"Northern Range","Diatoms","Cmin","0","1",-528.285838770376,1.78618137615524,267.214775672613,-0.00397891581362453,0.326265046345109,0.568625496239825
"Northern Range","Diatoms","Cmin","0","4",-527.166233185123,2.90578696140813,269.839214153537,0.00877451672751883,1.37621809286862,0.244338010739333
"Northern Range","Diatoms","Cmin","2","2",-842.439831652123,0,425.340397753772,0.00978193851397868,1.83967845672337,0.162054512289991
"Northern Range","Diatoms","Cmin","2","1",-841.762391957608,0.677439694514987,423.953052266229,-0.000461537987493932,0.921574738363472,0.338433264688167
"Northern Range","Diatoms","Cmin","2","3",-840.346362833414,2.09346881870863,425.354999598525,0.0040225983927229,1.22886788584404,0.300917751716201
"Northern Range","Diatoms","Cmin","2","4",-838.361445150004,4.07838650211863,425.436820135978,-0.00101886659791228,0.956742243471953,0.432868300254255
"Northern Range","Diatoms","Cmax","0","3",-478.574426082562,0,244.469031223099,0.151418388317372,11.1114320883888,1.09248387873689e-06
"Northern Range","Diatoms","Cmax","0","4",-476.870628962549,1.70379712001312,244.69141204225,0.148523976001035,8.4133255689319,3.32532742470226e-06
"Northern Range","Diatoms","Cmax","0","2",-473.166211086849,5.40821499571376,240.703587471135,0.118489975079759,12.4254490556597,9.27597872585688e-06
"Northern Range","Diatoms","Cmax","0","1",-458.047087451301,20.5273386312609,232.095400013076,0.0308860563457365,6.41796928333991,0.0122069964538429
"Northern Range","Diatoms","Cmax","2","2",-873.526665117673,0,440.883814486547,0.0222177459294132,2.93142020745222,0.0560545597917823
"Northern Range","Diatoms","Cmax","2","3",-871.410998023181,2.11566709449176,440.887317193409,0.0164030585396852,1.94500766665882,0.12429371058511
"Northern Range","Diatoms","Cmax","2","1",-870.221913704371,3.30475141330123,438.182813139611,-0.00319273161797362,0.458963010846251,0.499035385107728
"Northern Range","Diatoms","Cmax","2","4",-869.344460264965,4.18220485270774,440.928327693458,0.0109522912029668,1.47062681808569,0.213373285796679
"Northern Range","Invertebrates","Cmin","0","4",-577.144560251649,0,294.8283776868,0.41897921532522,31.6471250616084,1.37013406818248e-19
"Northern Range","Invertebrates","Cmin","0","3",-575.896465306781,1.24809494486783,293.130050835209,0.410871705118767,40.5206445845957,9.95117484073454e-20
"Northern Range","Invertebrates","Cmin","0","2",-572.272033793925,4.87252645772355,290.256498824673,0.394361903895776,56.3478422951987,1.8800865973176e-19
"Northern Range","Invertebrates","Cmin","0","1",-570.835580925277,6.30897932637163,288.489646750064,0.385374703862073,107.591284264113,8.12000513845759e-20
"Northern Range","Invertebrates","Cmin","2","1",-888.713776632169,0,447.42874460351,0.206500315799472,45.2407909982718,2.57757168724206e-10
"Northern Range","Invertebrates","Cmin","2","2",-886.706439234857,2.0073373973122,447.473701545139,0.202196708390767,22.5425536519763,2.12578564005415e-09
"Northern Range","Invertebrates","Cmin","2","3",-884.883650317198,3.83012631497149,447.623643340417,0.198825699433965,15.0628445353667,1.00959058697524e-08
"Northern Range","Invertebrates","Cmin","2","4",-882.79915068647,5.91462594569919,447.655672904211,0.194301231435071,11.2492428413399,4.22569142956074e-08
"Northern Range","Invertebrates","Cmax","0","3",-464.493319817897,0,237.428478090767,0.362999361683743,33.2919045781755,6.39839508766794e-17
"Northern Range","Invertebrates","Cmax","0","4",-463.352117127605,1.14120269029218,237.932156124778,0.362926068695407,25.2112526688526,2.50940036861081e-16
"Northern Range","Invertebrates","Cmax","0","1",-461.238798031787,3.25452178611044,233.691255303319,0.34241373091945,89.5212130990774,2.59100205077871e-17
"Northern Range","Invertebrates","Cmax","0","2",-459.339509217597,5.15381060030012,233.790236536509,0.339264886552645,44.6445933779975,2.82208953617657e-16
"Northern Range","Invertebrates","Cmax","2","1",-862.152121890285,0,434.147917232568,0.139739892995533,28.6146500527162,2.83650414128296e-07
"Northern Range","Invertebrates","Cmax","2","2",-860.352604290157,1.79951760012818,434.296784072789,0.136124728744891,14.3938339576557,1.69886092017373e-06
"Northern Range","Invertebrates","Cmax","2","3",-858.257395315464,3.89472657482145,434.31051583955,0.131091385602966,9.54924410663095,7.43025499176586e-06
"Northern Range","Invertebrates","Cmax","2","4",-856.108953964743,6.04316792554198,434.310574543347,0.125857596540848,7.11908063471036,2.58266518845649e-05
"Northern Range","Fish","Cmin","0","1",-355.73755528509,0,180.94063392997,-0.00565549929722198,0.0439719355190656,0.834158408603267
"Northern Range","Fish","Cmin","0","2",-355.437710338241,0.299844946848395,181.839337096831,-0.00106371972122976,0.909679898968159,0.404627060218003
"Northern Range","Fish","Cmin","0","3",-353.479926729473,2.25762855561715,181.921781546554,-0.00608751284024156,0.65712817568605,0.57955896438389
"Northern Range","Fish","Cmin","0","4",-353.011097543899,2.72645774119093,182.761646332925,-0.00225464078014825,0.904393325550766,0.462811020780844
"Northern Range","Fish","Cmin","2","2",-818.931446008185,0,413.586204931803,0.0297954869737752,3.6103943640411,0.0291599428587085
"Northern Range","Fish","Cmin","2","1",-818.380715684496,0.550730323688867,412.262214129673,0.0204851241415199,4.5553019049417,0.0342588080700995
"Northern Range","Fish","Cmin","2","3",-816.982124628291,1.94932137989372,413.672880495964,0.0249748113825022,2.45149000066533,0.0652486601152907
"Northern Range","Fish","Cmin","2","4",-816.155711323235,2.77573468495041,414.333953222593,0.0266560788314542,2.16390858944979,0.0752523328322209
"Northern Range","Fish","Cmax","0","4",-196.249111155839,0,104.380653138895,0.0223740594744791,1.97265987761557,0.100978065464103
"Northern Range","Fish","Cmax","0","1",-195.15160662759,1.09750452824889,100.64765960122,-0.00312653801101104,0.470145149458659,0.493859901834573
"Northern Range","Fish","Cmax","0","3",-194.245985276703,2.00312587913635,102.304810820169,0.00434585187769643,1.24733984205315,0.294320129608058
"Northern Range","Fish","Cmax","0","2",-194.129626202681,2.11948495315806,101.185295029051,-0.00277209759224828,0.765023083603068,0.466937249637485
"Northern Range","Fish","Cmax","2","1",-818.45384575023,0,412.29877916254,0.0278946658766192,5.87816806735409,0.0163836023992035
"Northern Range","Fish","Cmax","2","2",-818.312086589133,0.141759161096729,413.276525222277,0.0332274303473664,3.92140226996815,0.0216527527921058
"Northern Range","Fish","Cmax","2","3",-816.189464022441,2.26438172778819,413.276550193039,0.0274386570861749,2.59872407659638,0.0540118006071864
"Northern Range","Fish","Cmax","2","4",-816.033208340232,2.42063740999743,414.272701731092,0.0329131745152718,2.44641606114108,0.0484301969465573
"Northern Range","Fish (Trait)","Cmin","0","2",-521.151789436567,0,264.696376645994,0.00860127279158307,1.73745120628026,0.179115123901388
"Northern Range","Fish (Trait)","Cmin","0","1",-520.380457561944,0.771331874622888,263.262085068397,-0.00220455380322182,0.626050245805124,0.429916867523098
"Northern Range","Fish (Trait)","Cmin","0","3",-519.425889866363,1.72589957020341,264.894763115,0.00497619732330323,1.28339474314948,0.281820337992459
"Northern Range","Fish (Trait)","Cmin","0","4",-518.717389639689,2.4343997968773,265.61479238082,0.00737664866581489,1.3158373897569,0.266163892200409
"Northern Range","Fish (Trait)","Cmin","2","1",-1017.83771693514,0,511.990714754995,-0.00533825927217269,0.0973146919462151,0.755460753852117
"Northern Range","Fish (Trait)","Cmin","2","2",-1016.00451742395,1.83319951118904,512.122740639686,-0.00976197463214823,0.17825401968135,0.836887896018402
"Northern Range","Fish (Trait)","Cmin","2","3",-1014.79065259613,3.0470643390064,512.577144479885,-0.0104240928029924,0.415395380635736,0.742169556911842
"Northern Range","Fish (Trait)","Cmin","2","4",-1013.38773157074,4.44998536440062,512.949963346345,-0.0120881846675909,0.492388256126772,0.741330475778593
