"Column2","Column4","Column1","Estimate","Std. Error","tvalue","adjR2","Pr(>|t|)"
"Diatoms","Cmin","0",-0.0291372393422305,0.0510109165444388,-0.571196154000629,-0.00397891581362453,0.568625496239825
"Diatoms","Cmin","2",0.019581903539704,0.0203980957514342,0.959986842807481,-0.000461537987493932,0.338433264688167
"Diatoms","Cmax","0",-0.158692283614684,0.0626407563119436,-2.5333711302018,0.0308860563457365,0.0122069964538428
"Diatoms","Cmax","2",0.0127156528932723,0.0187693754294278,0.677468088433882,-0.00319273161797362,0.499035385107725
"Invertebrates","Cmin","0",0.467217566602916,0.0450433432240695,10.3726218606538,0.385374703862073,8.12000513845724e-20
"Invertebrates","Cmin","2",0.119600421798878,0.017781468161953,6.72612748899928,0.206500315799472,2.57757168724202e-10
"Invertebrates","Cmax","0",0.587174145395147,0.0620588816552055,9.46156504491078,0.34241373091945,2.59100205077864e-17
"Invertebrates","Cmax","2",0.1027996420227,0.0192175218188648,5.34926630975839,0.139739892995533,2.83650414128296e-07
"Fish","Cmin","0",-0.0364486310676986,0.0783459773595273,-0.465226579540096,-0.00311908027548746,0.642172574064973
"Fish","Cmin","2",0.118788548467617,0.0215954583616435,5.5006264038647,0.104021952130831,9.31492422231499e-08
"Fish","Cmax","0",0.00215816720944831,0.127032050392267,0.0169891551209637,-0.00398290923910616,0.986458764052176
"Fish","Cmax","2",0.1270451704066,0.0216313782673087,5.87318888499131,0.117320528238515,1.35037446185365e-08
"Fish (Trait)","Cmin","0",-0.0645540431549038,0.0483240139265559,-1.335858466828,0.0031035043209493,0.182805491803998
"Fish (Trait)","Cmin","2",0.043442849400463,0.0122344778930917,3.55085437891825,0.0440371379439921,0.00045839773915282
"Fish (Trait)","Cmax","0",-0.0283354598714457,0.0736721189783558,-0.384615784972472,-0.00339270445238382,0.700847770067143
"Fish (Trait)","Cmax","2",0.0442783176733799,0.0123945949681048,3.57238923799623,0.0445931045200116,0.000423975927231948
