"Column2","Column4","Column1","Estimate","Std. Error","tvalue","adjR2","Pr(>|t|)"
"Fish","Cmin","0",-0.122977931340684,0.0740737183554662,-1.66021004576191,0.0610752271705918,0.108886918182193
"Fish","Cmin","2",0.010716710558984,0.0213170605223849,0.502729283323582,-0.0284642045249803,0.619386573792954
"Fish","Cmax","0",-0.209370018265475,0.108685157837227,-1.92639015696181,0.0912450253987914,0.0650540199713932
"Fish","Cmax","2",0.00725871730305903,0.0220175533463966,0.32967865179475,-0.0341385207135518,0.744284187655378
"Fish (Trait)","Cmin","0",-0.0798938193562228,0.0396114026553809,-2.01693992134787,0.102036779522609,0.0541380622505553
"Fish (Trait)","Cmin","2",0.000292325754128077,0.0126264490852573,0.0231518578306706,-0.0384401302785236,0.981705913021687
"Fish (Trait)","Cmax","0",-0.115881537645408,0.0501422720633466,-2.31105478226058,0.138507953772989,0.0290183090564061
"Fish (Trait)","Cmax","2",-0.000148343392495278,0.0126978522339018,-0.0116825577871522,-0.0384560872797628,0.990768062409569
