"Column2","Column4","Column1","Estimate","Std. Error","tvalue","adjR2","Pr(>|t|)"
"Fish","Cmin","0",-0.584474453774554,1.96737357154844,-0.297083615550726,-0.149754038732087,0.7764193240039
"Fish","Cmin","2",0.246635147990083,0.837515159961783,0.294484398349682,-0.150044487006258,0.778310639649405
"Fish","Cmax","0",-0.300428352311505,2.76856786187187,-0.108513992540671,-0.164381512334527,0.917125960949628
"Fish","Cmax","2",0.399388280769394,0.879652516891862,0.454029600438796,-0.127914735049038,0.665768431196013
"Fish (Trait)","Cmin","0",-0.115765784403032,0.874955880669695,-0.132310424971856,-0.163272615518101,0.899064325028802
"Fish (Trait)","Cmin","2",0.221035994810581,0.506892821496239,0.436060613677917,-0.130829025225684,0.678045012160346
"Fish (Trait)","Cmax","0",-0.223188584110027,0.988433675254419,-0.225800263282793,-0.156836303854426,0.828851778587219
"Fish (Trait)","Cmax","2",0.233441133573137,0.507259040782186,0.460201031041603,-0.126890259792898,0.661577836274437
