"Column2","Column4","Column1","Estimate","Std. Error","tvalue","adjR2","Pr(>|t|)"
"Fish","Cmin","0",-0.0859751390452896,0.0779534292208804,-1.10290387356379,0.0414839890861292,0.33196052265432
"Fish","Cmin","2",-0.00218635610881724,0.0190350548600884,-0.114859459291681,-0.245890835430125,0.914091355016921
"Fish","Cmax","0",-0.126382787463704,0.119732509755706,-1.0555427905217,0.0223243594983471,0.350712108894849
"Fish","Cmax","2",-0.000476179846590746,0.0199234593667684,-0.0239004601472471,-0.2498215154905,0.982076787805291
"Fish (Trait)","Cmin","0",-0.0474511538323003,0.0354145590186769,-1.33987702083981,0.137227492736835,0.251338387975694
"Fish (Trait)","Cmin","2",-0.00859778165108332,0.00337924358150938,-2.54429177527446,0.522601051466596,0.0636899975333421
"Fish (Trait)","Cmax","0",-0.0895271610228372,0.068754574374592,-1.30212661247921,0.122119146288917,0.262791524338135
"Fish (Trait)","Cmax","2",-0.00871237220050052,0.00375040724894606,-2.32304697121863,0.46788965378932,0.0808659941082231
