"Column2","Column4","Column1","Estimate","Std. Error","tvalue","adjR2","Pr(>|t|)"
"Fish","Cmin","0",-0.0177159429458019,0.0844843917601267,-0.209694862881917,-0.00565549929722198,0.834158408603267
"Fish","Cmin","2",0.0466165174323014,0.0218414387482447,2.13431532462795,0.0204851241415199,0.0342588080700991
"Fish","Cmax","0",0.0926435617426771,0.135113661585996,0.685671312990895,-0.00312653801101104,0.493859901834573
"Fish","Cmax","2",0.0529431012184037,0.0218367688795565,2.42449336302537,0.0278946658766192,0.0163836023992036
"Fish (Trait)","Cmin","0",-0.0413053687854216,0.0522037749561851,-0.791233370002254,-0.00220455380322182,0.429916867523098
"Fish (Trait)","Cmin","2",-0.00380265218631338,0.0121898229533459,-0.31195302842931,-0.00533825927217269,0.755460753852113
"Fish (Trait)","Cmax","0",0.0178009217956886,0.0811715765796467,0.219299939039894,-0.00563098656048999,0.826681048019264
"Fish (Trait)","Cmax","2",-0.00384820877593599,0.0124108623506935,-0.310067799254978,-0.00534523111503415,0.756891423508188
