"Taxa","Coverage","Orderq","Model","Term","Estimate","Std. Error","t value","Pr(>|t|)"
"Diatoms","Cmin","0","(Intercept)","Intercept",21.0627479854752,0.689972234375265,30.5269501236473,2.70200090655625e-26
"Diatoms","Cmin","0","GroupUndisturbed","Group (Undisturbed)",1.47502115317522,0.975768091514368,1.51165135035931,0.139862380726891
"Diatoms","Cmin","0","time_pred","Session",0.0826521978261521,0.0605145681258015,1.36582314616093,0.180962056705819
"Diatoms","Cmin","0","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0192506342414902,0.0855805229646592,-0.224941769162124,0.823371069617005
"Diatoms","Cmin","2","(Intercept)","Intercept",18.2256837103177,0.6246502962066,29.177419463337,1.18974177736799e-25
"Diatoms","Cmin","2","GroupUndisturbed","Group (Undisturbed)",0.321037074133204,0.883388920635745,0.36341532776092,0.718544578464507
"Diatoms","Cmin","2","time_pred","Session",-0.0503967365133196,0.054785455155051,-0.919892631551373,0.364109691986062
"Diatoms","Cmin","2","GroupUndisturbed:time_pred","Session (Undisturbed)",0.0671034311346726,0.0774783337010561,0.866092853694889,0.392510055798051
"Diatoms","Cmax","0","(Intercept)","Intercept",22.3979634620201,1.09099383722454,20.5298716617867,9.77507418499917e-21
"Diatoms","Cmax","0","GroupUndisturbed","Group (Undisturbed)",2.47055806870249,1.54289828106842,1.60124494207855,0.118574527122255
"Diatoms","Cmax","0","time_pred","Session",0.121957781897709,0.0956864893952334,1.27455592391902,0.211108794684192
"Diatoms","Cmax","0","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.151827519829967,0.135321131038608,-1.12197938832368,0.269732625211708
"Diatoms","Cmax","2","(Intercept)","Intercept",18.8499088089434,0.638443653324144,29.5247806298939,8.07515687854139e-26
"Diatoms","Cmax","2","GroupUndisturbed","Group (Undisturbed)",0.119285332220501,0.902895673342031,0.132114191863354,0.895672721991739
"Diatoms","Cmax","2","time_pred","Session",-0.0587218325068532,0.0559952126023618,-1.0486938039481,0.301716748240452
"Diatoms","Cmax","2","GroupUndisturbed:time_pred","Session (Undisturbed)",0.0631663588226738,0.0791891890902248,0.797663917870212,0.430601502130836
"Invertebrates","Cmin","0","(Intercept)","Intercept",24.7904292596132,0.420159290486045,59.0024541190922,7.7411093455929e-36
"Invertebrates","Cmin","0","GroupUndisturbed","Group (Undisturbed)",0.222663147107158,0.594194966962421,0.37473078616844,0.710187981004124
"Invertebrates","Cmin","0","time_pred","Session",0.0176537915785962,0.0368504075107137,0.479066386808984,0.634958296356636
"Invertebrates","Cmin","0","GroupUndisturbed:time_pred","Session (Undisturbed)",0.0125405419865054,0.0521143460806267,0.240635121221779,0.811283059257083
"Invertebrates","Cmin","2","(Intercept)","Intercept",21.624039435078,0.487963958256406,44.314829136859,1.15416743985346e-31
"Invertebrates","Cmin","2","GroupUndisturbed","Group (Undisturbed)",0.37527616922175,0.690085247715468,0.543811319636385,0.590119760044055
"Invertebrates","Cmin","2","time_pred","Session",0.0443804998977264,0.0427972702721581,1.0369937058018,0.307058031913235
"Invertebrates","Cmin","2","GroupUndisturbed:time_pred","Session (Undisturbed)",0.0464289418006253,0.0605244800514329,0.767110130663998,0.448310410213652
"Invertebrates","Cmax","0","(Intercept)","Intercept",25.9107678771814,0.747858761320148,34.6466060402137,4.16100891682284e-28
"Invertebrates","Cmax","0","GroupUndisturbed","Group (Undisturbed)",1.01877807521889,1.0576320029985,0.963263282815331,0.342216828339954
"Invertebrates","Cmax","0","time_pred","Session",0.0379475364823698,0.0655915523924857,0.578543045532753,0.566710505268121
"Invertebrates","Cmax","0","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.089466923223555,0.0927604629705588,-0.964494142854277,0.341608601321546
"Invertebrates","Cmax","2","(Intercept)","Intercept",21.9981357508723,0.517866398755345,42.4783994554257,4.74720225928768e-31
"Invertebrates","Cmax","2","GroupUndisturbed","Group (Undisturbed)",0.427312654643042,0.732373684617122,0.58346260060728,0.563432665080131
"Invertebrates","Cmax","2","time_pred","Session",0.0500742513282754,0.0454198877958027,1.10247413101058,0.277998528342338
"Invertebrates","Cmax","2","GroupUndisturbed:time_pred","Session (Undisturbed)",0.03910256848646,0.0642334213222884,0.608757367761318,0.546731350056257
"Fish","Cmin","0","(Intercept)","Intercept",12.6334004070873,0.522048789356271,24.1996546389185,2.74549629497166e-26
"Fish","Cmin","0","GroupUndisturbed","Group (Undisturbed)",-1.34550339254159,0.738288478128093,-1.82246294287712,0.0755095648844021
"Fish","Cmin","0","time_pred","Session",0.0274575701715447,0.024397212256496,1.12543883632581,0.266793451848586
"Fish","Cmin","0","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.054284694120066,0.0345028684572318,-1.57333858161257,0.123144218540387
"Fish","Cmin","2","(Intercept)","Intercept",9.97187699760869,0.260071710702466,38.3427977255741,2.57150193403143e-34
"Fish","Cmin","2","GroupUndisturbed","Group (Undisturbed)",-1.09391493807304,0.367796940465,-2.97423610074086,0.00485108564727878
"Fish","Cmin","2","time_pred","Session",0.026579958414736,0.0121540837892605,2.18691584455115,0.0343692289093838
"Fish","Cmin","2","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0355806838223283,0.0171884701329911,-2.07003203583753,0.0446351965181856
"Fish","Cmax","0","(Intercept)","Intercept",13.9714792030847,1.04261323646531,13.400442958552,9.19425461826507e-17
"Fish","Cmax","0","GroupUndisturbed","Group (Undisturbed)",-0.632792879745305,1.47447777931895,-0.429164066506032,0.669997324155665
